user_id,manga_id,rating
5606728,66903,100
5606728,74485,70
5606728,80217,90
5606728,85611,100
5606728,86310,70
5606728,86607,70
5606728,86635,90
5606728,87216,70
5606728,97830,70
5606728,98397,80
5606728,98842,70
5606728,100568,100
5606728,100664,70
5606728,101517,70
5606728,101942,70
5606728,105469,70
5606728,105778,80
5606728,107098,90
5606728,111593,50
5606728,112429,50
5606728,112579,70
5606728,116671,70
5606728,126135,90
5606728,127554,50
5606728,129725,70
15042,30011,90
15042,30012,80
15042,30013,90
15042,30025,80
15042,30047,70
15042,30055,80
15042,30149,80
15042,30401,90
15042,30465,70
15042,30583,80
15042,30671,70
15042,30838,100
15042,30908,90
15042,31224,90
15042,31373,90
15042,31400,70
15042,31409,80
15042,31514,30
15042,31745,60
15042,32921,70
15042,33299,90
15042,33378,90
15042,33415,70
15042,33614,90
15042,33731,90
15042,33986,80
15042,34632,90
15042,35427,70
15042,35664,80
15042,35674,70
15042,36164,90
15042,37378,80
15042,37519,80
15042,38204,100
15042,38848,90
15042,39711,80
15042,40010,80
15042,40552,70
15042,40690,60
15042,41606,60
15042,42601,40
15042,42985,50
15042,43001,70
15042,43492,90
15042,43723,90
15042,43748,60
15042,44440,90
15042,44664,70
15042,44790,80
15042,45313,50
15042,45317,50
15042,45355,70
15042,45553,60
15042,46608,40
15042,46709,80
15042,47169,60
15042,47192,50
15042,47353,90
15042,47368,60
15042,48019,60
15042,49087,90
15042,49555,40
15042,51339,70
15042,51614,70
15042,52044,70
15042,52519,60
15042,53390,90
15042,53661,70
15042,53868,60
15042,54858,70
15042,54990,60
15042,55538,70
15042,55547,50
15042,56644,60
15042,59513,40
15042,59879,60
15042,61215,50
15042,61499,80
15042,62471,50
15042,62779,70
15042,63327,90
15042,64345,60
15042,64961,30
15042,65159,50
15042,65243,90
15042,66277,80
15042,67013,60
15042,67163,70
15042,67707,95
15042,68111,70
15042,68157,60
15042,69237,40
15042,69627,50
15042,69839,50
15042,71769,70
15042,72451,80
15042,73545,60
15042,74267,70
15042,74489,90
15042,75721,60
15042,75773,70
15042,75996,50
15042,76818,60
15042,76936,50
15042,77457,50
15042,77487,50
15042,77567,50
15042,78285,40
15042,78347,80
15042,80187,50
15042,80217,80
15042,84325,60
15042,85135,70
15042,85143,90
15042,85161,80
15042,85194,60
15042,85213,60
15042,85417,80
15042,85435,90
15042,85486,80
15042,85506,50
15042,85522,60
15042,85564,80
15042,85611,90
15042,86011,40
